Date/Time,BATH_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CAFETERIA_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),COMPUTER_CLASS_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_1_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_1_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_1_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_2_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_2_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORNER_CLASS_2_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORRIDOR_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORRIDOR_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),CORRIDOR_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),GYM_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),KITCHEN_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),LIBRARY_MEDIA_CENTER_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MAIN_CORRIDOR_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_1_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_1_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_1_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_2_POD_1_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_2_POD_2_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),MULT_CLASS_2_POD_3_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),OFFICES_ZN_1_FLR_1 PEOPLE:People Occupant Count [](TimeStep),EMS:Cooling Controlled Load [](TimeStep),EMS:Heating Controlled Load [](TimeStep),EMS:Cooling Desired Temperature [](TimeStep),EMS:Heating Desired Temperature [](TimeStep),EMS:Cooling Thermostat Deadband [](TimeStep),EMS:Heating Thermostat Deadband [](TimeStep),EMS:Cooling Current Temperature [](TimeStep),EMS:Heating Current Temperature [](TimeStep),EMS:Cooling Power State [](TimeStep),EMS:Heating Power State [](TimeStep),Whole Building:Facility Total Electric Demand Power [W](TimeStep),Facility:Facility Thermal Comfort ASHRAE 55 Simple Model Summer or Winter Clothes Not Comfortable Time [hr](TimeStep) 
 07/01  00:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48773.454529824,0.0 
 07/01  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48772.0797598901,0.0 
 07/01  01:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48770.1198398015,0.0 
 07/01  01:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48768.0484424956,0.0 
 07/01  01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48765.9753221976,0.0 
 07/01  01:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48763.900297131,0.0 
 07/01  01:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48761.8232155873,0.0 
 07/01  01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48759.7439270655,0.0 
 07/01  01:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48757.662326813,0.0 
 07/01  01:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48755.57834153,0.0 
 07/01  01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48753.4919487809,0.0 
 07/01  01:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48751.4031261509,0.0 
 07/01  01:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48749.3119336737,0.0 
 07/01  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48747.2183793038,0.0 
 07/01  02:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48745.241744782,0.0 
 07/01  02:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48743.2644746793,0.0 
 07/01  02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48741.2861793418,0.0 
 07/01  02:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48739.3065752478,0.0 
 07/01  02:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48737.325768888,0.0 
 07/01  02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48735.3333701413,0.0 
 07/01  02:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48733.3466598221,0.0 
 07/01  02:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48731.3609516225,0.0 
 07/01  02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48729.3742638313,0.0 
 07/01  02:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48727.3862634516,0.0 
 07/01  02:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48725.3970469525,0.0 
 07/01  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48723.4064646494,0.0 
 07/01  03:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,49015.3071240149,0.0 
 07/01  03:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,49012.6930310935,0.0 
 07/01  03:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,49010.0762266552,0.0 
 07/01  03:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,49007.4531994629,0.0 
 07/01  03:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,49004.830975475,0.0 
 07/01  03:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,49002.2039663592,0.0 
 07/01  03:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48999.5779848318,0.0 
 07/01  03:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48996.9475316594,0.0 
 07/01  03:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48994.3147265497,0.0 
 07/01  03:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48991.6807777776,0.0 
 07/01  03:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48989.0457952167,0.0 
 07/01  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48986.4095791456,0.0 
 07/01  04:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48965.5005945414,0.0 
 07/01  04:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48963.054622743,0.0 
 07/01  04:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48960.6093254896,0.0 
 07/01  04:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48958.164125791,0.0 
 07/01  04:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48955.719053794,0.0 
 07/01  04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48953.2738332789,0.0 
 07/01  04:35:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48950.8286274324,0.0 
 07/01  04:40:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48948.3832394022,0.0 
 07/01  04:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48945.9378637073,0.0 
 07/01  04:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48943.4923313164,0.0 
 07/01  04:55:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48941.0468401187,0.0 
 07/01  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,48938.601234134,0.0 
 07/01  05:05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80.6052790533509,60.8039822139421,0.0,0.0,80719.3183636306,0.0 
 07/01  05:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11794.722792865,0.0,80.6,60.8039822139421,0.0,0.0,77.8814387902187,60.8039822139421,1.,0.0,80533.0578117866,0.0 
 07/01  05:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11702.8000435411,0.0,80.6,60.8039822139421,0.0,0.0,76.8382883124048,60.8039822139421,1.,0.0,80359.2767453147,0.0 
 07/01  05:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11639.0219825437,0.0,80.6,60.8039822139421,0.0,0.0,76.2015290118435,60.8039822139421,1.,0.0,80210.808296687,0.0 
 07/01  05:25:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23149.7686853905,0.0,80.6,60.8039822139421,0.0,0.0,75.7254970750529,60.8039822139421,1.,0.0,71494.9890030764,0.0 
